id,subject,body,label
1,ด่วน! คุณถูกรางวัลที่ 1,"ขอแสดงความยินดี คุณได้รับรางวัลมูลค่า 1,000,000 บาท กรุณาคลิกลิงก์ด้านล่างเพื่อยืนยันตัวตนและกรอกข้อมูลบัตรเครดิตของคุณ",spam
2,โปรโมชั่นบัตรเครดิตพิเศษ,รับวงเงินเพิ่มทันที เพียงคลิกที่นี่และกรอกข้อมูลส่วนตัวของคุณภายในวันนี้เท่านั้น,spam
3,รายงานประชุมประจำสัปดาห์,สวัสดีทีมงาน แนบไฟล์รายงานประชุมประจำวันที่ 25 พฤศจิกายน กรุณาตรวจสอบและยืนยันข้อมูลก่อนวันศุกร์นี้,ham
4,คุณได้รับสิทธิ์กู้เงินด่วน,อนุมัติภายใน 5 นาที ไม่เช็คเครดิตบูโร คลิกเพื่อตรวจสอบวงเงินของคุณตอนนี้เลย,spam
5,แจ้งเตือนการเข้าสู่ระบบ,มีการเข้าสู่ระบบจากอุปกรณ์ใหม่ หากไม่ใช่คุณกรุณาเปลี่ยนรหัสผ่านทันที,ham
6,ลดทั้งเว็บ 90% วันนี้วันเดียว!,ช้อปออนไลน์ราคาช็อกโลก สินค้าจำนวนจำกัด รีบคลิกก่อนหมดเขตคืนนี้!,spam
7,ตารางสอนวิชาวิทยาการคอมพิวเตอร์,เรียนอาจารย์ ขอสรุปตารางสอนสำหรับเทอมหน้า ตามไฟล์แนบครับ,ham
8,คุณได้รับคูปอง Starbucks ฟรี,ดื่มกาแฟฟรี 1 ปี เพียงลงทะเบียนและกรอกข้อมูลบัตรประชาชนและบัตรเครดิตของคุณ,spam
9,ขอเลื่อนนัดสัมภาษณ์งาน,เรียนคุณผู้จัดการ ผมขอเลื่อนนัดสัมภาษณ์งานจากวันพุธเป็นวันศุกร์ได้หรือไม่ครับ,ham
10,"รับเงินคืน 50,000 บาททันที","เพียงโอนค่าธรรมเนียม 500 บาท ทีมงานจะโอนเงินคืนกลับไปให้คุณ 50,000 บาทภายใน 10 นาที",spam
11,[ใบแจ้งหนี้] ค่าบริการอินเทอร์เน็ต,เรียนลูกค้า แนบใบแจ้งหนี้ค่าบริการอินเทอร์เน็ตประจำเดือนนี้ กรุณาชำระภายในวันที่กำหนด,ham
12,ปลดหนี้บัตรเครดิตใน 7 วัน,ไม่ต้องผ่อน ไม่ต้องจ่ายคืน คลิกลิงก์นี้เพื่อสมัครโปรแกรมปลดหนี้ด่วน,spam
13,สรุปงานประชุมวิจัย AI,สวัสดีค่ะ อาจารย์ แนบสรุปงานประชุมเรื่องการใช้ AI ในการเรียนการสอนตามที่แจ้งค่ะ,ham
14,เพิ่มขนาดรายได้ของคุณใน 24 ชั่วโมง,"รับประกันรายได้วันละ 10,000 บาท ใช้เวลาแค่วันละ 5 นาที คลิกสมัครตอนนี้!",spam
15,แจ้งเตือนการส่งมอบสินค้า,สินค้าของคุณได้จัดส่งเรียบร้อยแล้ว หมายเลขติดตามพัสดุอยู่ในอีเมลฉบับนี้,ham
16,คุณถูกเลือกให้รับรางวัลพิเศษจากเรา,อย่าพลาดโอกาสทองนี้ คลิกลิงก์เพื่อกรอกข้อมูลให้ครบถ้วนและรับรางวัลทันที,spam
17,ขอแบบร่างบทความวิชาการ,เรียนอาจารย์ รบกวนขอแบบร่างบทความฉบับล่าสุดเพื่อตรวจสอบก่อนส่งวารสารค่ะ,ham
18,ลุ้นทองคำหนัก 10 บาท ฟรี!,เพียงแชร์ลิงก์นี้ให้เพื่อน 10 คนและกรอกข้อมูลของคุณก็มีสิทธิ์ลุ้นรับทองคำทันที,spam
19,เลื่อนเวลาส่งโปรเจกต์ได้หรือไม่ครับ,เรียนอาจารย์ ผมขอเลื่อนเวลาส่งโปรเจกต์ออกไปอีก 3 วันได้ไหมครับ เนื่องจากติดงานด่วน,ham
20,ยืนยันบัญชีธนาคารของคุณตอนนี้,ธนาคารของคุณต้องการข้อมูลอัปเดต กรุณาคลิกที่นี่และกรอกรายละเอียดบัตรเอทีเอ็มทันที,spam
21,Meeting Reminder: Project Update,This is a reminder for our project update meeting tomorrow at 10:00 AM via Zoom.,ham
22,You have WON a FREE iPhone!,Click here NOW to claim your brand new iPhone absolutely FREE! Limited time offer!,spam
23,Re: Question about the assignment,"Hi professor, I have a question regarding problem 3 in the assignment. Could you please clarify the requirement?",ham
24,Get rich with this secret investment trick,Double your money in 5 days! Join our exclusive program by clicking this link and paying a small joining fee.,spam
25,Project Files Attached,"Hi team, please find attached the latest version of the project files. Let me know if anything needs to be updated.",ham
26,Claim your lottery prize now!,Your email has been selected as the winner of our online lottery. Please send us your personal details to receive the prize.,spam
27,ขอเอกสารการสอนวิชา Machine Learning,เรียนอาจารย์ รบกวนขอเอกสารสไลด์สำหรับเตรียมสอนหัวข้อ Machine Learning ค่ะ,ham
28,อัปเกรดบัญชี LINE ของคุณ,บัญชีของคุณจะถูกระงับหากไม่ยืนยันตัวตน คลิกที่นี่เพื่อล็อกอินและกรอกรหัสผ่าน,spam
29,ประกาศผลสอบกลางภาค,แนบไฟล์ผลสอบกลางภาคของนักศึกษา กรุณาตรวจสอบคะแนนและแจ้งหากมีข้อผิดพลาด,ham
30,ปล่อยกู้ดอกเบี้ยต่ำ อนุมัติไว,ไม่เช็คเครดิต ไม่ใช้เอกสาร สมัครง่าย ๆ ผ่านลิงก์นี้เท่านั้น รับเงินภายใน 30 นาที,spam
